Spain,5
France,5
Belgium,5
Germany,5
Portugal,5
Italy,5
England,4.5
Netherlands,4.5
Uruguay,4.5
Brazil,4.5
Argentina,4.5
Colombia,4.5
Poland,4
Denmark,4
Switzerland,4
Austria,4
Russia,4
Chile,4
Mexico,4
Turkey,4
Greece,4
Sweden,4
Czech Republic,4
Cameroon,4
Côte d'Ivoire,4
Norway,4
Scotland,4
Wales,3.5
United States,3.5
Ireland,3.5
Slovenia,3.5
Paraguay,3.5
Hungary,3.5
Ecuador,3.5
Australia,3.5
Egypt,3.5
Venezuela,3.5
Iceland,3.5
Peru,3.5
Romania,3.5
Canada,3.5
Northern Ireland,3.5
South Africa,3
Finland,3
New Zealand,2.5
Bulgaria,2.5
Bolivia,2.5
India,1
